"post","illness"
"원호위해서 할수있는게 별로없어서 매일 울화병만 생기던 중 할일이 생겨쒀요","anger syndrome"
"건강검진 음주 주기가 어떻게됩니까 한달에 한두번정도요 결과 알코올중독 위험군입니다 나왜","alcoholism"
"동생 밥 집착하는 거식증 금쪽이 오은영 부모가 아들 희생양 삼아 일침금쪽같은","bipolar disorder"
"잭에게 알콜중독 설정과 소지품에 술도 넣어줬습니다 설정짜는게 제일 재밌다 헤헤","alcoholism"
"애초에 프아는 거식증 동경이잖아 뭐 쟨 섭장이네 아니네 왜 그런말을하는거임","bipolar disorder"
"오빠 우리엄마 입원했어요너무 속상하다요즘 스트레스 많이받더니 결국 화병나서얼른 낫겟죠","anger syndrome"
"버석버석 열빙어처럼 말린북어처럼 바스라지는 니코틴중독 노인","insomnia"
"예를 들어 에서 날씬한 여자만 보고 자신이 너무 뚱뚱하다 생각하여 거식증에 걸린 소녀가 있다고 해봅시다 물론 이게 사회문제이긴 할겁니다만 이 소녀의 좌절을 있는 그대로 인정하고 거식증을 반복하게 해야합니까 사회 인식 전체가 바뀌기 전에는 개입하면 안되는 문제일까요","bipolar disorder"
"거식증 있을 때 치료 하지말걸 왜 치료를 해가지고 돼지년이되어버림","bipolar disorder"
"김의겸이 흔들었던 해병대 박대령의 수사문서 그것은 군사기밀에 속하지 않나 그런데 왜 수사한다는 말이 없지","alcoholism"
"자해랑 자살시도가 왜 있어요","suicide"
"예쁜데 집도 잘살고 다 가졌지만 히키에 정신병있고 식이장애까지있는 개말라 추구하는거 트위터스럽다","bipolar disorder"
"정미홍 가짜뉴스 스트레스에 국민들 화병이 얼마나 심했는데 전파가능성이 낮긴 뭐가 낮다는 건지 텔레비전 없는 나도 알 정돈데 게다가 초범도 아니고 악질상습범인데 형량이 너무 가볍다","anger syndrome"
"수면부족수면과다불면증등 잘못된 수면습관을 개선을위해 수면진료 전문가가 들려주는 강력한 수면건강법 신간 수면 테라피 상세도서정보","eating disorder"
"힐링명상음악 지속적으로 듣기 촛불 수면 음악 힐링음악 불면증치료 스트레스완화음악 힐링음악","eating disorder"
"다음카페 만약 신의 계시를 놓고 단순한 습성의 인간들 가운데 받았다면 이는 필시 얼마 못가 제명대로 살지 못하고 목적한 바 그 뜻을 이루기도 전에 울화병으로","anger syndrome"
"증후군 증상 가지 알아보기 치료방법 자가진단","adhd"
"외향충 특징 주의력 결핍 과잉행동 장애임","adhd"
"공황장애가 이런건가요 몇일 전부터 가끔 이렇게 괴리감두근거림살짝 불안갑자기 울고 싶은 정말 아무것도 아니고 갑자기 이런 기분이 들어요 찬물을 마시니까 좀 괜찮아졌는데","depression"
"급증하는 노인성 치매환자 원인은 위에 있었","alzheimer"
"시발 어지럽다 온갖곳에 자살협박하고 다녔다니","suicide"
"이때 스트레스도 존나 많이 받고 그만큼 애들 만나서 놀기도 엄청 놀아서 진짜 조울증환자 같음","anxiety"
"귀에서 연필로 긁는 느낌일타강사 박세진 성인 투병 뉴스 연예 아이돌 경제 사회 사건사고 견자단 박세진 일타강사 성인 진격의언니들","adhd"
"루시드 솔플을 화공키고 한게 한두번이 아니라서 두둥 까먹은 나의 기억력 청년치매인가봐요","alzheimer"
"하나 하나 왜 이 숫자가 나왔는지 오히려 내가 설명해주고 이해가 된다 싶으니 나머지 삼십분 동안은 팀장님때문에 자기가 울화병이 난다며 나만 아낀다고 어찌나 업무에서 빼주려고 하는지 모르겠다고 하고 감 그것은 업무에서 빼주려고 하신게 아니라 내 업무가 아닌 네가 싸놓고 정리 못한 거","anger syndrome"
"현실과 동떨어진 지금당장 굶어죽느냐 하는판에 년후 탄소제로 치매증상아닌가의심","alzheimer"
"카페인중독 니코틴중독이라니 알콜중독까지는 아니잖아 좋게 생각하자고","insomnia"
"발품뉴스 유해물질 줄여 괜찮다 착한 담배는 없다 뉴스 임민경인하대 의대 교수 담배 중독의 근간이 니코틴이고 사업 이윤 창출의 핵심이 그건데 담배회사가 그걸 포기할까요","insomnia"
"잠은 제대로 안 자고 식사도 제대로 안 하고 대부분의 일을 귀찮아하고 인간관계는 안 좋고 니코틴 중독인지 카페인 중독인지 둘 다일수도 있고 음 더 말할까","insomnia"
"불안의 의학적 정의 불안은 마음이 조마조마하고 걱정이 있는 것으로 대개 정상적인 반응입니다 그러나 과도한 불안 상태나 걱정이 개월 이상 지속되는 경우에는 불안장애를 의심할 수 있습다","depression"
"알츠하이머 예방시대 오나 신물질 임상시험 시작 알츠하이머노인성 치매의 예방이 가능한지를 가늠할 수 있는 임상시험이 처음으로 시작됐다 스위스에 본사를 둔 다국적 제약사 로슈는 자회사 제넨텍이 알츠하이머 예방 치료물질인 크레네주맙","alzheimer"
"올 월 초 버릇처럼 잘 때 찾아듣다가 용복이 편집본 들으면서 스며들다 못해 스키즈 무대영상이랑 예능 보다가 결국 용복이 버블 결제 일 차 오늘 버블 녹음 듣고 트위터 앱을 설치하고 계정 팠다 뾱아 사랑해 넌 감동이다","eating disorder"
"조울증을 경험으로 표현하자면 나는 이렇다 조증일때 정말정말 기분이 하이한데 밤을 꼬박샐정도로 그러다 롤러코스터내려가듯 급하락 조증이 심했던만큼 딱그만큼 울증이 온다 그러면 우울해서 잠을 못자게 되고 그러타 기간은 울증이 더 긴거같아","anxiety"
"두만깅아 가려진시간 볼래 멈춰진 시간 속 강동원 우울증걸린나같음 아니 그절벽씬 정말로 아름답다고넘 예븜","nicotine"
"동반자살픽션존나아름답다근데이제한명이불사신이면 존나나락","suicide"
"그 무슨 줌마 보면 진짜 하루종일 음습하게 사찰하는 편집증 환자같고 편집증이면 다행인데 저 오타쿠 장르에서 저런 쥔쥔아줌마 같은 애 있었는데 알고보니 양극성장애 조현병 나와서 자와자와 했던 적이 있네요 아프면 병원 좀 가세요 하루종일 트이터나 들여다보지말고","anxiety"
"부초반신쿠는 아는거없어보임 뭐지치맨가 노망인가","alzheimer"
"꽃들을 사서 화병에 꽂아서 물을 담아두고 꽃들이 피길 기다리고 이런걸 한번 해보시면 되게 많이 좋을꺼 같아요 너무 힘드실때는 제가 여러분의 스트레스 해소가 되어 드릴게요","anger syndrome"
"맨날 난리치고 뭔 이상행동을 하는사람은 그냥 그 자체가 그사람이라서 가끔 정상적행동을 해야 칭찬받고 포용을받는데 뭔가 이제 차분하고 정상적인 뇌 활동을 하는 사람들은 가끔만 이상행동 하면 그걸로 도파민이 정말 올를텐데 그렇게 사는게 더 이득일지도 그래서 내말은 도파민디톡스 해야됨","nicotine"
"트렉 세기 지구인 니코틴중독 인데 카페인중독은 지금과 그대로임 뭐지","insomnia"
"년 뒤에 알콜니코틴 중독자가 됐는데요 바알 세냐크를 얼마나 털어먹은겨","insomnia"
"일타강사박세진 난 성인 고백학폭에 선생님이 때리기도 충격고백","adhd"
"나도 카베 봤을때 이거 걍 씹프피트위터리안알코올중독예술충의 풍자이자 모에화라고 생각했음","alcoholism"
"알코올 사용장애 환자 남성이 여성보다 배 많아","alcoholism"
"그냥 울분이 터진달까 화병 증상도 보이고","anger syndrome"
"조현병 걸린 사람들이 약을 잘 안먹는 이유","schizophrenia"
"다만 명심하래이건 꼭 기억하래 좋은 애미나이 나타나면 언제든 자길 버려도 된다고 말없이 사라져도 괜찮으니까 괜히 망설이지 말라고 인연은 때가 있는 거라고자긴 니 인생의 경험일 뿐이니까 굳이 낭비할 필요 없다는 식 이거 듣고 강대진 진짜 울화병이 올라와서 연애고 나발이고","anger syndrome"
"평소에는 몰랐던 치매 예방에 좋은 깻잎의 가지 효능","alzheimer"
"불안한감정은 항상 주변을 살펴야하는 생존본능을 일으킨다 그러면 집중력도 재기함","depression"
"아앗 루토님 스트레스 해소를 위해서라면 가장 두꺼운 화병을 공수해야만 앞으로는 한 번에 이해해보겠습니다 샘이 아시니까 괜히 부끄럽네요","anger syndrome"
"당연히 반응도 역대급 듣기만 해도 설렌다며 난리가 났지 회사도 모든 일이 순조롭게 진행되니 이젠 같이 있는 거 쌍수 들고 환영하고 컴백 전에는 말도 못 붙일 만큼 예민하게 굴고 만성 불면증이라 잠도 잘 못 잤는데 이번에는 그런게 전혀 없는거야 이 점은 믽형이 본인도 놀라는 일이고","eating disorder"
"근데 정신과 의사도 내가 라고 의심하지 못했음 어디 야매병원도 아니고 상당히 정신과에서 저명한 병원이었음 생각보다 성인 는 진단하기 어려운 병이더라구요 나도 인터넷에 증상보고 어 나랑 비슷한데하고 검사받게 된거","adhd"
"제가 소홀한 이유는 개정병이 찾아왔고 지독한 알콜중독에 빠졌기때문입니다","alcoholism"
"분노로 잠이 오질 않는다이게 바로 울화병인가","anger syndrome"
"이거 안조은쫃으로도 와전됨 남의 엄친딸 장염걸여서 밥못먹는다는 말이 거식증으로 한끼도 못먹고있다고 와전됨 그말듣고 걱정돼서 연락했더니 뭔개소리냐고 개웃던데","bipolar disorder"
"갑자기 하이텐션으로 바뀌기그냥 조울증조증 후웃 대놓고하는자기자랑","anxiety"
"성인 와 귀차니즘과 직장인의 체력과 암기력 꽝인 사람이 암튼 오메가 어찌저찌 해보렵니다 근데 공부가 귀찮대요 응애","adhd"
"사랑 내가 바라는 건 그런 감질나고 불안한 감정이 아니에요 당신이 온전하게 모든 감각과 세포 하나까지 나에게 예속되기를 바라는 거지 당신이 오로지 나만 볼 때까지 내가 만족할 일은 없겠죠 물론 나만 보게 되더라도 믿지 못하겠지만","depression"
"말이 안통하니 방법이 없다 저정도면 조현병 환자들임","schizophrenia"
"수면부족수면과다불면증 등 잘못된 수면습관 개선을 위해 수면진료전문가가 들려주는 강력한 수면건강법 신간 수면 테라피 상세도서정보","eating disorder"
"아야아가씨래면서 또 때리시구꿍얼꿍얼주머니에서 담배갑을 꺼내 내민다금단현상온다구요","insomnia"
"식품첨가제방부제 및 인공색소 과잉행동의 증상을 유발할 수 있다거의 확실한 사실로 밝혀짐 환경오염중략 심리사회적 요인중략 중략정확한 장애의 원인은 밝혀지지 않았지만 생물학적인 취약성과 환경적인 요인의 상호작용으로 인한 증상의 발현을 설명하고 있다","adhd"
"언론은 오늘도 추악한 프레임으로 낙지사를 돕고있다 낙지가 년에 친형이 조울증약을 먹었으니 낙지가 무죄라고 하는데 백모씨가 병원서 몰래 가져다 줘 형수가 한약에 타서 한번먹고 버렸다고 한다 정신과의사 처방한 조증약이 아니다 이걸 언론에서 맛사지 해주고 있다 낙지는 장난치지말라","anxiety"
"아이쿠야 도박 중독 남편알코올 의존증 아내 오은영 말도 안 되는 일 정신 차리길결혼지옥어저께 언론사 뷰","alcoholism"
"엥 두 질환에 비슷한 증상이 있어요 안그래도 저 혼자 에딧치 아닌가 꾸준히 의심중이었거든요조울증 환자","anxiety"
